Fitness,Depth,Nodes,Generations,time_since_the_start_of_the_evolution,seed,genotype_as_str
100.0,9,10,1,1.134796142578125,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 93610, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 1899, 67839, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 76731, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 27052, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 88960, 42535, 25897, 29655, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 63309, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 75250, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 38594, 11523, 27203, 21505, 69041, 43467, 48449, 87021, 11019, 88478, 35486, 77085, 34213, 68875, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 45820, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 12636, 55059, 37007, 93748, 61251, 67396, 76226, 35972, 18964, 88228, 23993, 84242, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 15278, 41287, 56227, 37493, 53939, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 47363, 7044, 331, 90944, 921, 88350, 6011, 60603, 29330, 61466, 93955, 24404, 65608, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 20545, 47366, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 86166, 47167, 2299, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 34616, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 506, 12562, 54383, 1874, 12096, 49307, 69590, 99231, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 86752, 39147, 17479, 57791, 38478, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,2,1.6571433544158936,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,3,2.0688703060150146,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,4,2.5453908443450928,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,5,2.8862884044647217,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,6,3.4010584354400635,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,7,3.8011929988861084,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,8,4.3732216358184814,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,9,4.742151498794556,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
77.0,9,10,10,5.028618097305298,10384,"Genotype(dna=[52624, 75571, 7981, 28573, 6713, 88647, 30183, 108, 85049, 76650, 9630, 52019, 86096, 99699, 15684, 99075, 16833, 14638, 30364, 16809, 24661, 34345, 761, 44155, 56454, 62314, 1177, 32427, 52890, 45595, 17791, 63206, 73432, 49160, 26917, 12694, 23185, 89043, 67966, 75507, 91541, 71568, 10038, 44501, 69637, 12548, 97086, 84901, 97984, 84180, 29755, 29061, 47606, 91479, 42535, 25897, 23097, 41214, 60093, 72926, 13194, 95680, 3679, 20807, 58449, 69209, 45311, 7066, 47973, 55736, 23827, 84016, 35935, 60612, 888, 77382, 73600, 51152, 26720, 85665, 83824, 1783, 60213, 51616, 53075, 30872, 34643, 5219, 11817, 87131, 5675, 98836, 11523, 27203, 21505, 69041, 43467, 87070, 87021, 13184, 88478, 35486, 80070, 34213, 14111, 6203, 31140, 4086, 70147, 26330, 6167, 87293, 79868, 77250, 54860, 47003, 33186, 98237, 87659, 76778, 95652, 29105, 25316, 55059, 37007, 67712, 61251, 15147, 76226, 35972, 18964, 88228, 23993, 77688, 41777, 34155, 20344, 86952, 39609, 65952, 37596, 23603, 40515, 52843, 49850, 26023, 50, 52148, 56227, 37493, 72450, 97988, 54096, 59546, 67408, 7264, 83305, 43170, 99053, 89064, 7044, 331, 90944, 921, 88350, 6011, 60603, 36622, 61466, 93955, 24404, 32192, 14940, 81007, 87023, 96674, 76645, 94190, 62989, 72883, 75515, 81652, 33162, 2442, 69157, 20745, 840, 80497, 10608, 25485, 88951, 75027, 80761, 10199, 78874, 56765, 79836, 85369, 96786, 89688, 47167, 2623, 83180, 20467, 46037, 18961, 16171, 37609, 77484, 75553, 44391, 25609, 53519, 43512, 62708, 89982, 31894, 81020, 7761, 43682, 12562, 66922, 38698, 12096, 49307, 69590, 83839, 10619, 2132, 76157, 45479, 76206, 22547, 48217, 15358, 8601, 80474, 10655, 23478, 17939, 23688, 9935, 39147, 17479, 57791, 35464, 94757, 39002, 68168, 8779, 49670, 38072, 46407, 19976, 26879, 78136])"
